# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00002000   ---        --------
               6   N   00002000   0000e101   00002004   x10_a0     00000000
               7   N   00002004   00004e01   00002006   ---        --------
               8   N   00002006   fffff297   00002008   x28_t3     00000000
               9   N   00002008   ff828293   0000200c   x05_t0     00001008
              10   N   0000200c   30529073   00002010   x05_t0     00001000
              11   N   00002010   00004505   00002014   ---        --------
              12   N   00002014   0000057e   00002016   x10_a0     00000001
              13   N   00002016   00054863   00002018   x10_a0     80000000
              14   N   00002018   0ff0000f   00002028   ---        --------
              17   N   00002028   00028f63   0000202c   x05_t0     00000000
              18   N   0000202c   10529073   0000204a   ---        --------
              22   N   0000204a   00006509   0000204e   ---        --------
              23   N   0000204e   00006509   0000204e   ---        --------
              24   N   0000204e   80050513   00002050   x10_a0     00002000
              25   N   00002050   30052073   00002054   x10_a0     00001800
              26   N   00002054   00001297   00002058   ---        --------
              27   N   00002058   00001297   00002058   ---        --------
              28   N   00002058   0a828293   0000205c   x05_t0     00003058
              29   N   0000205c   34129073   00002060   x05_t0     00003100
              30   N   00002060   f1402573   00002064   ---        --------
              31   N   00002064   30200073   00002068   x10_a0     00000000
              33   N   00002068   00000000   00003100   ---        --------
              36   N   00003100   00000000   00003104   x28_t3     00000002
              37   E   00003104   00000000   00001000   mstatus    00001800
              37   E   00003104   00000000   00001000   mepc       00003104
              37   E   00003104   00000000   00001000   mcause     00000002
              37   E   00003104   00000000   00001000   mtval      00000000
              40   N   00001000   000047a1   00001004   x14_a4     00000002
              41   N   00001004   04f70763   00001006   x15_a5     00000008
              42   N   00001006   000047a5   0000100a   ---        --------
              43   N   0000100a   04f70463   0000100c   x15_a5     00000009
              44   N   0000100c   000047ad   00001010   ---        --------
              45   N   00001010   04f70163   00001012   x15_a5     0000000b
              46   N   00001012   00004789   00001016   ---        --------
              47   N   00001016   02f71b63   00001018   x15_a5     00000002
              48   N   00001018   f0000837   0000101c   ---        --------
              49   N   0000101c   00002897   00001020   x16_a6     f0000000
              50   N   00001020   52088893   00001024   x17_a7     00003020
              51   N   00001024   00088783   00001028   x17_a7     00003540
              53   N   00001028   0000c791   0000102c   x15_a5     00000069
              54   N   0000102c   00f82023   0000102e   ---        --------
              56   N   0000102e   00000885   00001032   ---        --------
